Date (MST),OTHER,OTHER_ghg,WIND,WIND_ghg,GAS,GAS_ghg,HYDRO,HYDRO_ghg,SOLAR,SOLAR_ghg,ENERGY STORAGE,ENERGY STORAGE_ghg,COAL,COAL_ghg,DUAL FUEL,DUAL FUEL_ghg,Total Generation,Total_ghg,EI,Renewable Gen,Fossil Fuel Gen,Net Generation,Price,Alberta Internal Load,RE_percent,Temp (°C),Dew Point Temp (°C),Wind Spd (km/h),Hmdx
2024-10-20 02:00:00,259.396327855852,49.9121429844263,3071.48057912325,39.9292475286022,6381.63205173936,3101.47317714533,118.455304772589,2.84292731454213,0,0,0,0,,,,,9830.96426349105,3194.1574949729,324.907853325736,3189.93588389584,6641.02837959521,6641.02837959521,0,9186,32.4,12.4,3.4,38,
2024-10-20 03:00:00,257.68331284629,49.8216139508714,2801.87601859329,36.4243882417128,6587.66443389631,3201.60491487361,141.419365741213,3.39406477778912,0,0,-1.81,-0.05973,,,,,9786.83313107711,3291.18525184398,336.287050955549,2943.29538433451,6845.3477467426,6843.5377467426,3.27,9208,30.1,12.7,4,43,
2024-10-20 04:00:00,257.06227139526,49.640469649601,2238.6734579439,29.1027549532707,6890.80548352331,3348.93146499233,168.129220539464,4.03510129294713,0,0,-0.951666666666667,-0.031405,,,,,9553.71876673526,3431.67838588815,359.198179230142,2406.80267848336,7147.86775491857,7146.9160882519,12.37,9227,25.2,12.5,4.4,22,
2024-10-20 05:00:00,260.558256112734,49.9142687760946,1728.10542826598,22.4653705674577,7190.06842536403,3494.37325472692,149.510274129113,3.5882465790987,0,0,0,0,,,,,9328.24238387186,3570.34114064957,382.745322615388,1877.61570239509,7450.62668147677,7450.62668147677,24.82,9320,20.1,12.4,4.5,18,
2024-10-20 06:00:00,275.062511047787,52.0874314968024,1005.85022172021,13.0760528823628,7738.7903140824,3761.05209264405,328.379218382769,7.88110124118646,0.218888888888889,0.00941222222222222,0,0,,,,,9348.30115412206,3834.10609048662,410.139342675755,1334.44832899187,8013.85282513019,8013.85282513019,272.04,9501,14.3,12.9,4.8,23,
2024-10-20 07:00:00,285.110535560184,54.6380906806607,693.554849797111,9.01621304736244,7946.29820226176,3861.90092629922,343.572689824071,8.24574455577771,24.8453330447111,1.06834932092258,0,0,,,,,9293.38161048784,3934.86932390394,423.405546960789,1061.97287266589,8231.40873782194,8231.40873782195,163.37,9522,11.4,12.7,5,21,
2024-10-20 08:00:00,283.750309107039,52.5499201447974,598.876720542105,7.78539736704736,8017.64089477387,3896.5734748601,335.848577911109,8.06036586986661,244.486274719851,10.5129098129536,0,0,,,,,9480.60277705397,3975.48206805476,419.32798594586,1179.21157317306,8301.39120388091,8301.39120388091,213.08,9640,12.4,13,5.1,15,
2024-10-20 09:00:00,264.53567568673,48.8469037356207,548.862635928633,7.13521426707222,8012.28042342497,3893.96828578454,139.019813767432,3.33647553041836,660.471620952272,28.4002797009477,0,0,,,,,9625.17016976004,3981.6871590186,413.67446900088,1348.35407064834,8276.8160991117,8276.8160991117,49.04,9779,14,14.1,5.3,20,
2024-10-20 10:00:00,252.917437303861,48.142353022408,855.734750162458,11.124551752112,7654.10858266485,3719.89677117512,100.020348076655,2.40048835383972,889.389470162077,38.2437472169693,0,0,,,,,9752.1705883699,3819.80791152045,391.687971093924,1845.14456840119,7907.02601996871,7907.02601996871,20.33,9951,18.9,15.5,5.3,22,
2024-10-20 11:00:00,252.725254218711,47.7838272104428,1374.79921321952,17.8723897718537,7242.50749390842,3519.85864203949,135.059571215378,3.24142970916907,938.022171381646,40.3349533694108,0,0,,,,,9943.11370394367,3629.09124210037,364.985390910393,2447.88095581654,7495.23274812713,7495.23274812713,16.99,10055,24.6,16.2,5.3,22,
2024-10-20 12:00:00,253.723610676659,48.3796142153634,2083.08767245885,27.0801397419651,6917.06940635398,3361.69573148803,118.796967034009,2.85112720881621,942.467594833639,40.5261065778465,0,0,,,,,10315.1452513571,3480.53271923203,337.419651824496,3144.3522343265,7170.79301703064,7170.79301703064,10.78,10115,30.5,17.4,4.9,29,
